Year,Month,Date,Food_idx,Food_mom_pct
2022,June,2022-06-01,174.9,
2022,July,2022-07-01,175.0,0.057175528873631976
2022,August,2022-08-01,176.3,0.7428571428571562
2022,September,2022-09-01,177.8,0.8508224617129967
2022,October,2022-10-01,179.6,1.012373453318327
2022,November,2022-11-01,178.3,-0.7238307349665796
2022,December,2022-12-01,175.9,-1.346045989904654
2023,January,2023-01-01,176.7,0.4548038658328535
2023,February,2023-02-01,177.0,0.1697792869270076
2023,March,2023-03-01,177.0,0.0
2023,April,2023-04-01,177.9,0.5084745762711895
2023,May,2023-05-01,179.1,0.6745362563237656
