Date,Year,Month,General_index,YOY_pct
2013-01-01,2013,January,104.6,
2013-02-01,2013,February,105.3,
2013-03-01,2013,March,105.5,
2013-04-01,2013,April,106.1,
2013-05-01,2013,May,106.9,
2013-06-01,2013,June,109.3,
2013-07-01,2013,July,111.0,
2013-08-01,2013,August,112.4,
2013-09-01,2013,September,113.7,
2013-10-01,2013,October,114.8,
2013-11-01,2013,November,116.3,
2013-12-01,2013,December,114.5,
2014-01-01,2014,January,113.6,8.604206500956014
2014-02-01,2014,February,113.6,7.882241215574548
2014-03-01,2014,March,114.2,8.24644549763034
2014-04-01,2014,April,115.1,8.482563619227147
2014-05-01,2014,May,115.8,8.325537885874645
2014-06-01,2014,June,116.7,6.770356816102474
2014-07-01,2014,July,119.2,7.387387387387401
2014-08-01,2014,August,120.3,7.028469750889665
2014-09-01,2014,September,120.1,5.628847845206675
2014-10-01,2014,October,120.1,4.616724738675959
2014-11-01,2014,November,120.1,3.267411865864145
2014-12-01,2014,December,119.4,4.279475982532754
2015-01-01,2015,January,119.5,5.193661971830998
2015-02-01,2015,February,119.7,5.369718309859173
2015-03-01,2015,March,120.2,5.25394045534151
2015-04-01,2015,April,120.7,4.865334491746309
2015-05-01,2015,May,121.6,5.008635578583753
2015-06-01,2015,June,123.0,5.398457583547556
2015-07-01,2015,July,123.6,3.691275167785224
2015-08-01,2015,August,124.8,3.7406483790523692
2015-09-01,2015,September,125.4,4.412989175686932
2015-10-01,2015,October,126.1,4.995836802664444
2015-11-01,2015,November,126.6,5.412156536219825
2015-12-01,2015,December,126.1,5.611390284757101
2016-01-01,2016,January,126.3,5.690376569037658
2016-02-01,2016,February,126.0,5.263157894736836
2016-03-01,2016,March,126.0,4.825291181364388
2016-04-01,2016,April,127.3,5.468102734051361
2016-05-01,2016,May,128.6,5.756578947368429
2016-06-01,2016,June,130.1,5.772357723577226
2016-07-01,2016,July,131.1,6.067961165048552
2016-08-01,2016,August,131.1,5.048076923076916
2016-09-01,2016,September,130.9,4.385964912280693
2016-10-01,2016,October,131.4,4.203013481364004
2016-11-01,2016,November,131.2,3.633491311216419
2016-12-01,2016,December,130.4,3.4099920697858943
2017-01-01,2017,January,130.3,3.1670625494853555
2017-02-01,2017,February,130.6,3.650793650793638
2017-03-01,2017,March,130.9,3.8888888888888973
2017-04-01,2017,April,131.1,2.9850746268656803
2017-05-01,2017,May,131.4,2.1772939346812015
2017-06-01,2017,June,132.0,1.460415065334364
2017-07-01,2017,July,134.2,2.3646071700991644
2017-08-01,2017,August,135.4,3.279938977879482
2017-09-01,2017,September,135.2,3.2849503437738514
2017-10-01,2017,October,136.1,3.5768645357686424
2017-11-01,2017,November,137.6,4.878048780487809
2017-12-01,2017,December,137.2,5.21472392638036
2018-01-01,2018,January,136.9,5.065234075211045
2018-02-01,2018,February,136.4,4.441041347626351
2018-03-01,2018,March,136.5,4.278074866310155
2018-04-01,2018,April,137.1,4.576659038901609
2018-05-01,2018,May,137.8,4.87062404870624
2018-06-01,2018,June,138.5,4.924242424242431
2018-07-01,2018,July,139.8,4.172876304023854
2018-08-01,2018,August,140.4,3.692762186115206
2018-09-01,2018,September,140.2,3.698224852071008
2018-10-01,2018,October,140.8,3.453343130051456
2018-11-01,2018,November,140.8,2.3255813953488413
2018-12-01,2018,December,140.1,2.1137026239067103
